,client-address,client-guid,request-time,service-guid,retries-request,packets-requested,packets-serviced,max-hole-size
530,231.102.234.148,1109e335-39d4-4497-8854-bf3937c5a547,1467121502.0,94f93cba-de8c-4fb6-a03c-d52c10f81247,3,13,16,13
115,201.21.67.201,e03d0286-3a91-41b6-82b7-16113d22aa2f,1467121750.0,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,5,13,17,8
581,136.86.149.164,5eed724f-e8fc-45e7-9fa0-3860d0b13943,1467121942.0,60b84364-645b-444c-90ed-879d893f7920,6,13,4,12
181,12.239.186.1,9147765a-9f0a-41c0-a18d-cb618e7ac936,1467122194.0,fa7b1137-1e85-4d26-aa9d-8da7a812cad6,7,6,16,8
212,182.96.68.127,603bcef9-6154-402b-ad10-39302b34bfe1,1467122749.0,d70c87de-7837-450c-9965-17c9f366d183,1,8,7,10
383,39.49.44.234,f917c098-6c46-4d68-bcac-840009db8f9d,1467123164.0,601152f5-477a-4ff3-afdb-8bf315341254,6,9,11,18
333,27.199.65.16,942008de-150c-4e22-93de-6186c8a02dd8,1467123276.0,586b3947-c63c-4054-a437-d3f8a6836bcf,6,11,1,14
591,159.29.57.124,3c73d3fa-88e0-4aa6-8615-f0695b106600,1467123337.0,bed314cb-4c59-41ee-9c23-3155a80e2bc3,1,1,8,8
784,12.74.212.73,2fbba381-9354-41ee-997f-b03aed004c27,1467123510.0,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,7,11,6,14
875,10.65.7.118,1d68b9c2-e8c5-4ed3-afae-50650bc4887e,1467123746.0,8232ac92-6020-4101-88c0-74d51ea1542b,5,15,12,10
406,91.254.170.48,70e496c2-e9a0-45b5-8ee7-f34849b9026a,1467123952.0,4a949998-0e79-4ec1-9894-11360712fc45,7,15,13,15
811,139.199.67.14,b4dce314-e569-4a2a-b5c3-b369b59c9ca3,1467123978.0,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,4,15,6,5
484,208.180.58.114,257a4a2c-5f15-4462-83dd-44cbedafae21,1467124062.0,5d35c640-9cf3-43ec-ae1a-5feebed26a37,1,10,11,14
553,231.102.234.148,1109e335-39d4-4497-8854-bf3937c5a547,1467124123.0,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,11,16,14
72,50.57.63.79,f1422974-aa83-4dc9-b3b4-75ce67bae8a0,1467124229.0,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,4,7,12,10
334,138.72.13.187,089f4e70-10c5-4de2-9d2b-1c66246e8820,1467124521.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,5,6,10,9
56,48.7.16.229,c86211fe-7464-4c12-bf1d-1b6ba809463a,1467124643.0,0a5f0733-d058-4738-8666-f0468c5ee9c3,5,5,17,10
820,63.112.127.116,1eafc017-80fb-4121-910b-de0f6df88819,1467124672.0,db7b9cde-0a4b-459a-a301-88a447410499,4,13,11,13
718,55.66.238.60,696cbfe6-effb-48c5-aa1a-6a1320174472,1467124710.0,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,5,13,14,11
94,126.27.127.213,dfcb52d6-b6c0-4e03-b821-aeacef035190,1467124738.0,edf32a15-bb1c-42f4-9fe6-afa9f9b21522,5,13,16,7
403,86.187.242.163,24ad91a9-a175-4e22-b39e-be06c7df094b,1467124765.0,7d619a45-2b4d-4a54-9e85-6913c9545e34,2,16,15,5
523,85.167.64.69,89bc418b-1250-465e-9243-e7a34dd8ee29,1467124766.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,5,15,13,9
19,80.139.243.28,f86716ba-936d-420b-8698-d87e17d5beb9,1467124827.0,d70c87de-7837-450c-9965-17c9f366d183,6,9,1,18
561,180.220.0.235,7ea02222-31bb-46f2-a27b-0270113c8352,1467124892.0,586b3947-c63c-4054-a437-d3f8a6836bcf,6,4,10,11
246,54.22.62.114,e3311e6a-462f-4d3f-a0d8-fc8600ce35fc,1467124966.0,0d5157f7-8012-4455-b66f-4f81d14092b3,9,6,8,4
550,194.153.116.244,c9f34d28-28ca-4959-9422-9d80d5a4814a,1467125052.0,586b3947-c63c-4054-a437-d3f8a6836bcf,9,4,9,11
362,69.51.77.90,3faf2136-0687-4827-a3b7-e0dc316572a8,1467125055.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,3,8,11,3
563,194.153.116.244,c9f34d28-28ca-4959-9422-9d80d5a4814a,1467125075.0,bed314cb-4c59-41ee-9c23-3155a80e2bc3,2,16,18,13
737,94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,1467125098.0,7f386bb2-4bbf-4f14-b56e-3dad78f28674,5,11,18,10
556,223.37.193.115,0cb4d1ba-eb44-4c10-8d6c-fd34f7e70694,1467125127.0,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,3,13,17,12
441,25.63.4.79,39d2597a-7dce-462e-a995-470974e48665,1467125298.0,bed314cb-4c59-41ee-9c23-3155a80e2bc3,5,15,14,16
791,107.225.10.253,9bc628b7-e57b-4624-bb76-73f796808ca2,1467125340.0,c5a5edbb-338d-449a-99cb-1baeba48abb2,6,11,11,8
730,145.18.221.103,b395e901-75a6-4005-9df4-edb8a343f87a,1467125397.0,8151ff61-4777-4187-b719-e750b91281c8,3,16,14,12
379,43.121.230.128,0abf10c0-7105-4401-b9ea-a6317561cbba,1467125600.0,1664d39d-45f1-4939-87e2-b7221e30d157,5,17,14,4
597,240.107.225.33,63652f6f-5441-4ad0-a5e7-9c0818e4696b,1467125774.0,d224de85-cd41-4f03-bff6-de9815877975,3,3,16,6
76,36.159.98.210,3a3db4ad-afed-435e-9ce1-c7561e5a9d1e,1467125800.0,a6c5d611-45be-43bf-a027-c1e98a89c8f6,9,3,13,16
611,140.214.11.29,4cb4360f-7947-4c97-a4cd-9544bbd17eb5,1467125878.0,fa005302-61ce-44ca-88a5-015fd4392f37,8,16,13,13
220,214.106.113.54,e211a6a1-f75c-401f-91c6-61f51f473d6e,1467125899.0,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,6,7,8,3
801,254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,1467125999.0,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,4,16,9,5
359,136.98.140.70,3041de52-b442-40f0-8cf4-b01fdbc03ed9,1467126157.0,7d619a45-2b4d-4a54-9e85-6913c9545e34,5,18,15,11
490,11.168.249.153,a625f52a-7a79-4986-8741-d5866ffab46e,1467126390.0,4cb309f6-8c9a-4f61-8544-6b458e42f04c,5,7,9,16
167,126.27.127.213,dfcb52d6-b6c0-4e03-b821-aeacef035190,1467127127.0,dd7691ef-4b29-4992-b48d-cb449dfc65b6,3,13,10,8
452,197.67.162.91,e3b6e54c-5092-4a88-8400-02c2ce5af565,1467127403.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,0,19,13,6
305,23.93.24.205,52cd8288-bb32-4acf-9b22-f86b8c4a36c3,1467127404.0,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,5,4,14,18
131,7.57.136.112,801d175e-02cf-406b-8981-073c298e59f2,1467127414.0,0d5157f7-8012-4455-b66f-4f81d14092b3,3,15,13,13
648,63.112.127.116,1eafc017-80fb-4121-910b-de0f6df88819,1467127437.0,8232ac92-6020-4101-88c0-74d51ea1542b,7,3,15,17
414,31.58.132.34,260c2121-098e-4371-b0bb-e8ca42bbc729,1467127561.0,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,7,14,12,7
124,94.12.116.30,146ed54a-ba2e-4753-a806-0995827bb93b,1467127721.0,dd7691ef-4b29-4992-b48d-cb449dfc65b6,2,8,5,11
504,244.225.8.162,ca7050d8-e536-4d72-84fc-b1d6d7ac72d9,1467128094.0,586b3947-c63c-4054-a437-d3f8a6836bcf,8,12,11,10
390,43.121.230.128,0abf10c0-7105-4401-b9ea-a6317561cbba,1467128137.0,caaca31e-bee2-4ed3-8e72-5dab24079744,2,8,18,11
690,140.223.53.70,71058018-ea7d-4f5a-8b02-8c22b88a4427,1467128257.0,3cc76b74-7d16-4651-9699-34332a56f6e7,8,5,15,6
346,25.63.4.79,39d2597a-7dce-462e-a995-470974e48665,1467128349.0,601152f5-477a-4ff3-afdb-8bf315341254,1,10,6,9
396,185.116.188.255,9e73f5dd-1ecb-45d9-9bc7-374c2681515f,1467128788.0,1efced85-b0e3-464b-ac63-472d35909c05,3,15,8,15
118,63.166.194.231,75db17ab-aea0-4e56-a9b8-45d5ed29e8ef,1467129061.0,0d5157f7-8012-4455-b66f-4f81d14092b3,7,9,15,10
711,166.224.30.98,c6379614-8ad6-4318-b21f-8f977ce874ec,1467129225.0,52073b51-cd51-4438-bd54-3bce3a7c239f,2,11,19,17
375,152.187.124.84,96623c46-8c2d-4787-928f-10012ce4ef44,1467129279.0,1664d39d-45f1-4939-87e2-b7221e30d157,7,16,11,7
680,203.99.237.72,0b8eeb97-cc5c-4ae6-9b0a-f16efc3e3383,1467129334.0,52073b51-cd51-4438-bd54-3bce3a7c239f,5,9,15,4
32,139.208.124.41,2c83efdc-c899-4d4f-b715-da19ac180680,1467129534.0,a6c5d611-45be-43bf-a027-c1e98a89c8f6,1,11,10,11
770,240.239.146.238,542ad590-4084-4689-8124-503b9aa79f8e,1467129645.0,50b89ee3-f4cb-46d9-8d5c-319f6a032406,4,4,5,14
322,25.131.244.136,49efca01-479f-4511-b306-816b6dd04f4c,1467129685.0,586b3947-c63c-4054-a437-d3f8a6836bcf,9,11,16,7
242,189.123.107.8,8166905c-cfe9-4e43-8d83-94e8784b2108,1467129858.0,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,7,9,14,6
696,191.35.181.185,107866ff-4915-483f-84bc-da259966a282,1467129870.0,35501e3f-e06c-4cb5-9062-e8611a591cab,6,11,11,13
286,214.106.113.54,e211a6a1-f75c-401f-91c6-61f51f473d6e,1467129904.0,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,6,14,10,14
54,42.189.111.126,7fb79e2d-e87e-4848-bedf-226cc86d8929,1467129934.0,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,4,16,15,4
2,122.229.58.131,088f93cb-f0a8-41ea-acf8-7a29f029ed78,1467130139.0,d70c87de-7837-450c-9965-17c9f366d183,6,8,10,5
793,160.98.154.250,747ba432-9b7d-4a18-baa1-f0232736e6ee,1467130176.0,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,6,16,18,7
509,208.180.58.114,257a4a2c-5f15-4462-83dd-44cbedafae21,1467130296.0,1efced85-b0e3-464b-ac63-472d35909c05,5,17,9,12
726,168.150.100.132,3a33932e-9887-4b81-9490-aca35a8b58c2,1467130303.0,c5a5edbb-338d-449a-99cb-1baeba48abb2,7,12,13,17
57,30.73.3.42,0ffa65fe-5822-48eb-8d3f-08480489d2b6,1467130423.0,0d5157f7-8012-4455-b66f-4f81d14092b3,8,15,9,14
443,160.71.252.91,85c0881e-bbc5-4b8e-9f44-3811c5b5d925,1467130439.0,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,12,10,9
628,226.62.150.59,7a31a821-d6c7-42a5-a00f-34263f2cb438,1467130499.0,0342f6df-6e8c-48c3-8390-667eb678638b,7,6,14,16
330,30.23.170.207,b7b3cc60-eeb6-4020-9597-88cb9000391d,1467130558.0,601152f5-477a-4ff3-afdb-8bf315341254,1,10,16,19
569,95.125.180.55,c756d625-bdc7-40c0-869d-a97b45c4ebaa,1467130579.0,586b3947-c63c-4054-a437-d3f8a6836bcf,6,17,12,10
385,86.101.113.23,1c4f25e0-9f6b-4b4e-baf5-1a8038022020,1467130579.0,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,14,10,13
689,167.133.116.248,553f4b0e-eef6-41ac-ae2a-ddbff89e9105,1467130656.0,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,3,15,6,15
407,25.131.244.136,49efca01-479f-4511-b306-816b6dd04f4c,1467130718.0,4ab70dbe-f5e7-4688-aa5c-2ae75faf6c03,7,18,9,14
834,75.175.93.93,074d853b-eba6-472b-b588-adcc0ad69402,1467130925.0,2536e29e-3570-4d53-be7c-b9d059c632a7,7,13,16,13
408,231.102.234.148,1109e335-39d4-4497-8854-bf3937c5a547,1467131377.0,1664d39d-45f1-4939-87e2-b7221e30d157,6,14,8,11
280,77.10.9.39,463283d8-079b-45be-a7c7-ce0b7e3f5a4f,1467131516.0,a5adb83b-0380-4618-aef6-7179e39eff26,3,13,16,17
335,177.207.105.164,50a81755-dd6c-44b4-92f4-c4d0f76980cb,1467131685.0,601152f5-477a-4ff3-afdb-8bf315341254,5,4,13,18
201,125.165.252.24,bc56619f-cf00-48d2-a1c2-0af6d8a94fa5,1467131732.0,0a5f0733-d058-4738-8666-f0468c5ee9c3,8,9,15,3
163,228.252.85.118,d547834a-1811-48d1-ad82-95d2a048ac8e,1467132127.0,a6c5d611-45be-43bf-a027-c1e98a89c8f6,5,17,14,5
381,185.116.188.255,9e73f5dd-1ecb-45d9-9bc7-374c2681515f,1467132272.0,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,7,15,6,11
268,11.3.172.88,95dd458f-dc5b-41d8-b2cb-f2b2c08e49e4,1467132331.0,d70c87de-7837-450c-9965-17c9f366d183,6,14,10,14
41,42.189.111.126,7fb79e2d-e87e-4848-bedf-226cc86d8929,1467132379.0,1d0a29e3-b3b0-4f0d-a684-a0f025955a4d,5,6,16,14
439,90.161.125.211,aff6ed59-3d7a-4c52-981b-086f2e19aba7,1467132545.0,1664d39d-45f1-4939-87e2-b7221e30d157,8,5,9,14
805,103.100.11.222,51643750-454e-4704-9ed8-5df37a7e9a03,1467132681.0,185ec7fa-2efc-424e-835f-de882857f55e,4,14,8,13
852,84.204.210.155,827b1228-fd25-48ca-80a2-886c9392bf45,1467132712.0,3cc76b74-7d16-4651-9699-34332a56f6e7,5,11,12,9
29,189.123.107.8,8166905c-cfe9-4e43-8d83-94e8784b2108,1467132713.0,d15e4790-67f7-4488-a28d-32ced8673c58,4,10,6,10
688,189.244.232.201,21d7ba77-d509-4bac-b943-b94319f79acc,1467132817.0,8151ff61-4777-4187-b719-e750b91281c8,6,12,11,11
24,184.20.205.139,c2fb747e-7020-49fd-b12e-96bd0842384e,1467133285.0,a6c5d611-45be-43bf-a027-c1e98a89c8f6,5,17,13,18
95,176.146.5.46,96cfcc3b-69a5-4bed-93ec-a0fb0ac9253d,1467133363.0,0d5157f7-8012-4455-b66f-4f81d14092b3,6,15,12,9
14,12.239.186.1,9147765a-9f0a-41c0-a18d-cb618e7ac936,1467133586.0,0d5157f7-8012-4455-b66f-4f81d14092b3,5,6,17,11
538,81.231.11.150,37b28482-db5f-4e2d-a35c-1aa650137d7c,1467133668.0,4cb309f6-8c9a-4f61-8544-6b458e42f04c,5,3,4,8
626,195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,1467133749.0,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,8,16,11,4
710,94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,1467133938.0,8232ac92-6020-4101-88c0-74d51ea1542b,8,14,17,6
619,42.231.39.19,13c04d34-1386-4b4b-bf2b-dd224fe7c263,1467134073.0,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,6,10,3,16
669,156.80.210.99,9dc02e96-af25-4344-ac83-58a048464b6c,1467134122.0,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,7,10,7,5
804,152.196.5.179,9247096f-9cea-4ec4-a9ec-fb87a7eca907,1467134131.0,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,7,13,13,18
826,168.150.100.132,3a33932e-9887-4b81-9490-aca35a8b58c2,1467134215.0,7f386bb2-4bbf-4f14-b56e-3dad78f28674,9,15,11,14
411,63.238.70.233,548fdcfe-1f63-49c8-b764-e5fd4010d4f6,1467134281.0,5d35c640-9cf3-43ec-ae1a-5feebed26a37,6,13,15,14
68,112.220.217.210,85235af4-c6fa-4b96-8bef-92ebe219fa52,1467134291.0,dd7691ef-4b29-4992-b48d-cb449dfc65b6,5,3,8,9
10,52.114.196.208,4e581c7f-0033-4386-a655-fdc5a77f85e4,1467134308.0,19f26076-5d21-4200-b26c-0f32cd87ebde,2,9,15,11
75,44.67.255.227,b9e3e6ce-1c79-4857-ac6a-cc1c0b3405e7,1467134376.0,edf32a15-bb1c-42f4-9fe6-afa9f9b21522,6,12,3,12
223,42.215.105.48,0dbb1321-4454-41f5-9b19-aee0cc8e8de5,1467134378.0,fa7b1137-1e85-4d26-aa9d-8da7a812cad6,7,15,10,7
313,88.133.216.130,e82f7767-ff00-41bb-abef-70e12318e510,1467134383.0,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,3,10,11,14
544,193.186.89.202,430fbb17-9624-4b40-b483-61a3f3ac2816,1467134490.0,1efced85-b0e3-464b-ac63-472d35909c05,5,13,18,12
483,95.88.54.206,43c1358a-10cd-4361-9bd7-9328dfeb92fc,1467134773.0,fbce0713-676d-4dc9-a33b-25ff937c1ae3,6,11,13,9
46,109.69.193.94,1d59de82-a700-41de-8922-f39b8206c231,1467134882.0,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,7,17,16,19
137,77.172.69.189,66592c05-2365-4724-b823-e84c3cff3213,1467135027.0,f78fb4fb-3e02-4f42-9c15-45480342cba9,4,5,14,12
155,94.12.116.30,146ed54a-ba2e-4753-a806-0995827bb93b,1467135410.0,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,4,13,10,6
839,120.31.196.134,b714f712-3aac-4651-96e5-362503cfd5c2,1467135419.0,35501e3f-e06c-4cb5-9062-e8611a591cab,4,10,5,6
715,254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,1467135433.0,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,7,12,8,4
555,53.192.52.176,f4394d85-6c7d-4294-aa7e-30ae656cc901,1467135538.0,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,6,15,13,13
260,253.235.133.129,ab0020e1-ae71-4c1f-aa9c-777ab029f884,1467135593.0,19f26076-5d21-4200-b26c-0f32cd87ebde,5,14,17,11
434,12.56.177.0,2a9b0c73-79d9-45e4-a61a-26a30a2b8021,1467135718.0,5d35c640-9cf3-43ec-ae1a-5feebed26a37,1,12,12,11
133,225.87.139.56,d514edf5-3d3b-4dc9-bb2f-c632aa3895ac,1467136075.0,edf32a15-bb1c-42f4-9fe6-afa9f9b21522,5,11,15,4
757,108.215.182.159,97fee10a-afef-4205-a9c2-8e058acf9c39,1467136158.0,d224de85-cd41-4f03-bff6-de9815877975,7,16,9,5
